type,name,frequency
Event,OnCreateNewObject,1635
Event,OnPropertyChanged,8346
Event,OnAfterCommit,718
Event,OnCustomEvent,7986
Event,OnBeforeCommit,3736
Event,AfterReproduction,12
Event,OnAfterBusinessObjectPrint,58
Event,OnCustomListEvent,175
Action,SetValueByConst,20642
Action,OnPropertyChanged,3425
Action,SendNotification,688
Action,PrintAction,1066
Action,SetValueByProperty,10977
Action,SendMail,1216
Action,SetValueByExpression,7641
Action,ExecuteBusinessObjectFunction,1092
Action,RequestDecision,2164
Action,CreateBusinessObject,1079
Action,DeleteBusinessObject,329
Action,CreateUnrelatedBusinessObject,291
Action,MultipleValueSetter,202
Action,Return,714
Action,ExecuteCustomEvent,3288
Action,AddToExportQueue,495
Action,SetValueByTable,239
Action,CopyFiling,210
Action,ExecuteCustomEventWithCommit,460
Action,ShellExecute,94
Action,ExecuteCustomEventBeforeCommit,35
Action,ExecuteReproduction,64
Action,DistanceCalculation,38
Action,SearchInCsvFileAction,22
Action,ValidateBusinessObject,11
Action,AddExistingBusinessObjectToCollection,152
Action,CallRestApi,42
Action,ShowVariablesToUser,122
Action,CustomSourceCode,26
Action,ReActFilter,117
Action,CreateLoginToken,2
Action,AfterReproduction,2
Action,Wait,6
