event,action,frequency
OnCreateNewObject,SetValueByConst,2391
OnPropertyChanged,OnPropertyChanged,3425
OnPropertyChanged,SetValueByConst,6965
OnAfterCommit,SendNotification,61
OnCustomEvent,PrintAction,742
OnCustomEvent,SetValueByConst,7114
OnBeforeCommit,SetValueByProperty,2067
OnPropertyChanged,SendNotification,191
OnCustomEvent,SendMail,709
OnBeforeCommit,SetValueByExpression,2035
OnCustomEvent,ExecuteBusinessObjectFunction,519
OnBeforeCommit,SendNotification,59
OnBeforeCommit,RequestDecision,115
OnPropertyChanged,SetValueByProperty,3096
OnCustomEvent,CreateBusinessObject,493
AfterReproduction,DeleteBusinessObject,2
AfterReproduction,SendNotification,1
OnAfterCommit,RequestDecision,11
OnPropertyChanged,CreateBusinessObject,399
OnBeforeCommit,ExecuteBusinessObjectFunction,441
OnBeforeCommit,CreateUnrelatedBusinessObject,33
OnPropertyChanged,SendMail,275
OnCustomEvent,SetValueByExpression,3387
OnAfterCommit,SetValueByExpression,113
OnCreateNewObject,MultipleValueSetter,10
OnCustomEvent,Return,320
OnCustomEvent,ExecuteCustomEvent,1422
OnCustomEvent,AddToExportQueue,231
OnCustomEvent,SetValueByProperty,5337
OnPropertyChanged,SetValueByExpression,1940
OnPropertyChanged,ExecuteCustomEvent,917
OnPropertyChanged,Return,237
OnCustomEvent,SendNotification,369
OnBeforeCommit,Return,142
OnBeforeCommit,SetValueByConst,3579
OnBeforeCommit,ExecuteCustomEvent,750
OnPropertyChanged,MultipleValueSetter,55
OnBeforeCommit,AddToExportQueue,70
OnPropertyChanged,ExecuteBusinessObjectFunction,106
OnCreateNewObject,RequestDecision,21
OnPropertyChanged,SetValueByTable,60
OnCustomEvent,CopyFiling,132
OnPropertyChanged,ExecuteCustomEventWithCommit,51
OnPropertyChanged,RequestDecision,1952
OnCustomEvent,RequestDecision,65
OnPropertyChanged,PrintAction,113
OnCreateNewObject,ExecuteCustomEvent,43
OnAfterCommit,ExecuteCustomEvent,102
OnCustomEvent,ShellExecute,82
OnPropertyChanged,CreateUnrelatedBusinessObject,80
OnCustomEvent,SetValueByTable,83
OnAfterCommit,AddToExportQueue,36
AfterReproduction,ExecuteCustomEventBeforeCommit,1
OnAfterCommit,PrintAction,85
OnAfterCommit,SetValueByConst,540
OnAfterCommit,SetValueByProperty,201
OnCreateNewObject,CopyFiling,8
OnBeforeCommit,CopyFiling,32
OnAfterCommit,CopyFiling,13
OnCustomEvent,ExecuteCustomEventWithCommit,225
OnCustomEvent,DeleteBusinessObject,214
OnCreateNewObject,SetValueByProperty,220
OnPropertyChanged,ExecuteReproduction,12
OnCustomEvent,ExecuteCustomEventBeforeCommit,9
OnCustomEvent,DistanceCalculation,13
OnBeforeCommit,DistanceCalculation,23
OnBeforeCommit,SendMail,85
OnCustomEvent,SearchInCsvFileAction,14
OnCreateNewObject,CreateBusinessObject,77
OnCustomEvent,ValidateBusinessObject,5
OnCustomEvent,AddExistingBusinessObjectToCollection,58
OnPropertyChanged,DeleteBusinessObject,73
OnPropertyChanged,AddExistingBusinessObjectToCollection,31
OnPropertyChanged,AddToExportQueue,152
OnAfterBusinessObjectPrint,SetValueByConst,40
OnBeforeCommit,SetValueByTable,88
OnCustomListEvent,SetValueByProperty,52
